# ID	lat[deg]	long[deg]	czHelio[km/s]	Ks	group	groupSize	latGroup[deg]	longGroup[deg]	czGroupHelio[km/s]
09171052-0445076	29.2731	236.1302	3534	10.621	111826	1	29.2731	236.1301	3534
09171413+4429209	44.1665	176.0591	9601	11.151	100672	4	44.1179	176.5957	9563
09172289+2453147	42.2185	202.9337	10390	10.978	106039	1	42.2186	202.9337	10390
09172295+4159589	44.2984	179.5291	1726	9.148	102740	2	44.3015	179.5300	1700
09172901-0037141	31.6385	232.1988	4969	11.478	101806	2	31.8097	232.0158	5104
09172964+2557587	42.5126	201.5284	6538	10.493	108663	1	42.5125	201.5284	6538
09173109-6253041	-9.4662	281.1331	2132	11.219	201851	2	-10.1928	281.3418	2018
09173103+4159388	44.3235	179.5362	1673	11.462	102740	2	44.3015	179.5300	1700
09173411+1857081	40.4789	210.4963	8434	10.883	100954	3	40.3500	210.4292	8694
09173929-0754275	27.5349	239.1277	7524	11.602	110222	1	27.5349	239.1277	7524
09173992+5259339	43.0945	164.3937	2274	9.462	111962	1	43.0945	164.3937	2274
09174055-5937023	-7.1945	278.7597	10240	11.363	200632	4	-6.8738	278.9330	10221
09174056+4005136	44.3642	182.2026	15069	11.754	104552	1	44.3641	182.2026	15069
09173834+1626255	39.5978	213.5689	8658	10.637	100085	15	39.5622	212.5957	8410
09174543+1954240	40.8400	209.3303	8690	10.791	100098	11	40.7515	208.9047	8511
09175079-0016418	31.9000	231.9181	5239	10.847	101806	2	31.8097	232.0158	5104
09175290-2221168	18.5089	251.4076	892	8.329	101956	2	16.7456	251.8805	789
09175540+2744078	43.0090	199.2118	7692	10.939	100960	3	43.2072	199.3089	7867
09180349-2438489	17.0231	253.2410	7907	11.407	109578	1	17.0232	253.2410	7907
09180565-1205439	25.0928	242.9256	16452	11.060	103744	1	25.0929	242.9256	16452
09180631+1328206	38.5411	217.1447	8724	11.391	108440	1	38.5411	217.1447	8724
09180931+1611526	39.6219	213.9209	8997	10.035	100085	15	39.5622	212.5957	8410
09181350-3228599	11.7560	259.2341	8765	10.432	100700	4	11.7382	259.1115	8958
09181706+5540564	42.5749	160.7926	14220	11.748	100169	8	43.3852	161.3366	14038
09181420+4539065	44.2561	174.4232	8065	11.160	101124	3	44.0914	174.3645	7913
