# pgc	lat[deg]	long[deg]	czHelio[km/s]	mu	muError	group	groupSize	latGroup[deg]	longGroup[deg]	czGroupHelio[km/s]	muGroup	muGroupError
152918	20.3305	231.1104	12414	36.19	0.50	100848	3	20.25	231.16	12228	36.27	0.25
152919	19.5829	232.3886	11054	36.03	0.50	100839	3	19.59	232.19	11197	36.27	0.29
152926	22.1791	227.8600	15738	37.19	0.50	0	1	22.18	227.86	15738	37.19	0.50
152969	21.4846	229.2885	11758	36.35	0.50	102582	2	21.61	228.76	12032	35.95	0.16
152974	22.5924	227.3362	15740	36.94	0.50	104265	1	22.59	227.34	15740	36.57	0.35
153022	13.5365	242.9889	15692	36.19	0.50	0	1	13.54	242.99	15692	36.19	0.50
153040	22.7648	228.4270	14862	36.81	0.50	104546	1	22.76	228.43	14862	36.81	0.50
153042	13.8631	242.7183	11412	36.02	0.50	0	1	13.86	242.72	11412	36.02	0.50
153218	24.0887	232.6561	12808	36.49	0.50	104174	1	24.09	232.66	12808	36.18	0.29
153230	17.0153	243.6349	11362	36.25	0.50	0	1	17.02	243.63	11362	36.25	0.50
153259	23.9907	233.2395	13061	35.91	0.50	0	1	23.99	233.24	13061	35.91	0.50
153300	24.5321	233.9528	13561	35.75	0.50	101701	2	24.51	234.03	13446	36.08	0.35
153306	24.5784	233.9201	13322	36.40	0.50	101701	2	24.51	234.03	13446	36.08	0.35
153313	21.2378	239.3448	7000	35.61	0.50	0	1	21.24	239.34	7000	35.61	0.50
153393	25.4526	235.1665	13079	36.89	0.50	104543	1	25.45	235.17	13079	36.24	0.29
153400	25.5620	235.1115	13278	35.99	0.50	104543	1	25.56	235.11	13278	36.24	0.29
153411	21.6197	241.3289	9163	34.69	0.50	108760	1	21.62	241.33	9163	34.69	0.50
153423	24.4673	237.6215	13176	36.18	0.50	0	1	24.47	237.62	13176	36.18	0.50
153425	18.3603	246.4458	15751	36.06	0.50	0	1	18.36	246.45	15751	36.06	0.50
153426	12.8170	253.4670	11214	36.41	0.50	0	1	12.82	253.47	11214	36.41	0.50
153430	24.2505	238.1522	15306	36.89	0.50	100109	10	24.74	239.18	16121	36.73	0.20
153493	27.3672	235.6848	13182	37.37	0.50	0	1	27.37	235.68	13182	37.37	0.50
153514	29.7392	232.0605	11980	36.00	0.50	0	1	29.74	232.06	11980	36.00	0.50
153516	21.0365	245.4574	11879	36.29	0.50	101532	2	21.33	245.90	11487	36.04	0.29
153518	23.1105	242.6430	5130	34.46	0.50	111344	1	23.11	242.64	5130	34.46	0.50
153525	21.2648	245.2656	11369	36.82	0.50	0	1	21.26	245.27	11369	36.82	0.50
153534	27.0583	236.9951	5191	34.51	0.50	111619	1	27.06	237.00	5191	34.51	0.50
153539	21.2719	245.7297	11720	36.00	0.50	101532	2	21.33	245.90	11487	36.04	0.29
153555	28.3195	235.5853	8732	34.65	0.50	107237	1	28.32	235.59	8732	34.65	0.50
153570	21.3646	246.0232	11259	35.84	0.50	101532	2	21.33	245.90	11487	36.04	0.29
153876	11.7298	259.1415	9054	35.70	0.50	100700	4	11.74	259.11	8959	35.61	0.35
153898	26.9629	240.7524	15712	37.24	0.50	104131	1	26.96	240.75	15712	36.65	0.35
153909	32.7360	232.8560	26332	37.85	0.40	0	1	32.74	232.86	26332	37.85	0.40
153911	22.5853	248.0918	10773	35.20	0.50	101694	2	22.62	248.21	10908	35.68	0.25
153917	25.8318	243.8437	14143	36.37	0.50	104812	1	25.83	243.84	14143	36.37	0.50
153933	22.6383	248.2551	11063	35.40	0.50	101694	2	22.62	248.21	10908	35.68	0.25
153960	12.9979	259.8228	12772	36.54	0.50	104952	1	13.00	259.82	12772	36.04	0.35
153984	13.9887	259.0007	12622	35.64	0.50	105602	1	13.99	259.00	12622	35.64	0.50
153992	13.7611	259.4305	9358	35.71	0.50	107433	1	13.76	259.43	9358	35.71	0.50
154045	25.7121	247.0288	13698	36.70	0.50	0	1	25.71	247.03	13698	36.70	0.50
154049	30.7394	240.0270	8828	35.84	0.50	106424	1	30.74	240.03	8828	35.84	0.50
154117	11.4476	265.2976	12642	35.54	0.50	101939	2	11.66	265.33	12537	35.36	0.35
154137	31.5930	242.7827	15120	35.71	0.50	0	1	31.59	242.78	15120	35.71	0.50
154159	19.8923	257.2798	12737	36.30	0.50	0	1	19.89	257.28	12737	36.30	0.50
154162	31.8945	242.5465	15233	35.59	0.50	0	1	31.89	242.55	15233	35.59	0.50
154189	30.3942	246.2757	10595	35.98	0.50	106609	1	30.39	246.28	10595	35.98	0.50
154196	27.2729	250.4285	9968	35.16	0.50	106861	1	27.27	250.43	9968	35.16	0.50
154210	28.5303	249.3312	9866	35.09	0.50	0	1	28.53	249.33	9866	35.09	0.50
154254	11.4510	267.2554	12949	35.64	0.50	105039	1	11.45	267.26	12949	35.64	0.50
154255	29.8633	247.9898	14116	36.29	0.50	101380	3	29.86	248.28	14105	35.72	0.35
154308	14.9161	264.9203	14431	36.33	0.50	0	1	14.92	264.92	14431	36.33	0.50
154312	29.7722	249.3296	9898	35.34	0.50	102125	2	29.82	249.24	9960	35.34	0.50
154329	29.2486	250.1069	9517	35.33	0.50	101997	2	29.24	250.08	9442	35.90	0.35
154439	30.1629	252.5754	14905	35.99	0.50	104550	1	30.16	252.58	14905	35.99	0.50
154467	25.4125	258.0139	8212	34.10	0.50	100786	4	25.50	257.97	8232	34.44	0.35
154471	36.3698	244.8662	12513	36.57	0.50	0	1	36.37	244.87	12513	36.57	0.50
154480	28.9594	254.3196	14911	37.76	0.50	0	1	28.96	254.32	14911	37.76	0.50
154486	30.3585	252.8340	9597	35.54	0.50	102036	2	30.38	252.73	9478	35.54	0.50
154491	29.5622	253.7800	15678	36.45	0.50	0	1	29.56	253.78	15678	36.45	0.50
154513	18.8616	264.9890	11482	36.13	0.50	100937	3	18.70	264.97	11383	36.13	0.50
154520	13.4485	269.6605	12502	36.72	0.50	102958	2	13.44	269.70	12510	36.57	0.29
154527	13.4287	269.7240	12528	36.30	0.50	102958	2	13.44	269.70	12510	36.57	0.29
154580	31.5770	253.6873	9102	36.59	0.50	100119	10	31.00	253.76	9233	35.75	0.14
154592	31.4639	253.9675	14950	37.29	0.50	0	1	31.46	253.97	14950	37.29	0.50
154597	37.9884	245.6969	10035	35.23	0.50	106669	1	37.99	245.70	10035	35.23	0.50
154633	12.8520	271.5521	9185	34.87	0.50	100610	4	12.89	271.58	9284	36.00	0.29
154650	32.9022	253.6562	15313	38.33	0.50	0	1	32.90	253.66	15313	38.33	0.50
154651	31.3034	255.4502	13850	36.72	0.50	0	1	31.30	255.45	13850	36.72	0.50
154668	31.7425	255.1662	15622	36.05	0.50	0	1	31.74	255.17	15622	36.05	0.50
154687	32.3182	254.6488	14203	35.76	0.50	104786	1	32.32	254.65	14203	35.76	0.50
154688	33.5765	253.2139	15332	37.14	0.50	0	1	33.58	253.21	15332	37.14	0.50
154697	39.6190	245.4615	15389	36.00	0.50	101398	2	39.54	245.95	16026	36.64	0.35
154705	35.2463	251.4204	14084	35.60	0.50	0	1	35.25	251.42	14084	35.60	0.50
154752	37.9371	248.3906	7445	35.54	0.50	0	1	37.94	248.39	7445	35.54	0.50
154792	12.1309	273.1841	9470	35.31	0.50	106492	1	12.13	273.18	9470	35.31	0.50
154812	42.5759	241.8868	13844	35.99	0.50	100533	4	42.87	242.80	14064	36.33	0.10
154866	38.3977	248.8104	12314	36.15	0.50	0	1	38.40	248.81	12314	36.15	0.50
154973	36.9300	252.0540	12548	36.31	0.50	0	1	36.93	252.05	12548	36.31	0.50
154977	34.7694	254.6774	8759	34.70	0.50	108577	1	34.77	254.68	8759	34.70	0.50
155009	36.4747	253.0943	15717	37.87	0.50	0	1	36.47	253.09	15717	37.87	0.50
155019	36.9402	253.3366	11926	35.78	0.50	106104	1	36.94	253.34	11926	35.78	0.50
155020	31.3805	259.3578	14933	36.05	0.50	100898	3	31.44	259.41	14870	36.53	0.25
155028	31.0171	259.7907	14596	37.19	0.50	100898	3	31.44	259.41	14870	36.53	0.25
155030	43.7229	244.0583	14802	36.54	0.50	104907	1	43.72	244.06	14802	36.54	0.50
155036	31.4545	259.4359	15012	36.54	0.50	100898	3	31.44	259.41	14870	36.53	0.25
155059	18.0754	270.8773	8868	35.13	0.50	0	1	18.08	270.88	8868	35.13	0.50
155100	38.2311	252.8609	10837	36.03	0.50	0	1	38.23	252.86	10837	36.03	0.50
155184	25.5717	266.5775	10851	36.72	0.50	100971	3	25.69	266.77	10475	36.72	0.50
155239	39.2528	253.7660	15652	36.73	0.50	0	1	39.25	253.77	15652	36.73	0.50
155249	35.1124	258.5693	10753	36.25	0.50	0	1	35.11	258.57	10753	36.25	0.50
155256	43.2357	248.8799	11592	36.00	0.50	103006	2	43.46	248.46	11532	36.00	0.50
155263	44.5056	247.1161	15376	37.18	0.50	0	1	44.51	247.12	15376	37.18	0.50
155314	44.0303	248.2830	14869	36.74	0.50	0	1	44.03	248.28	14869	36.74	0.50
155435	30.7344	265.1198	14496	36.81	0.50	0	1	30.73	265.12	14496	36.81	0.50
155439	38.3903	259.1290	15592	36.17	0.50	104233	1	38.39	259.13	15592	36.51	0.35
155456	39.5809	258.0664	16255	36.87	0.50	102341	2	39.61	258.27	15533	36.88	0.29
155462	34.6271	263.0277	10171	36.70	0.50	0	1	34.63	263.03	10171	36.70	0.50
155468	34.5999	263.0715	11109	35.66	0.50	106912	1	34.60	263.07	11109	35.66	0.50
155480	43.1522	254.3286	8829	35.69	0.50	100351	6	42.83	254.46	8482	35.69	0.22
155491	42.8506	254.8074	8536	35.56	0.50	100351	6	42.83	254.46	8482	35.69	0.22
155502	35.1377	263.0282	11057	35.62	0.50	0	1	35.14	263.03	11057	35.62	0.50
155510	35.5223	262.7483	12917	36.46	0.50	104623	1	35.52	262.75	12917	36.12	0.35
155511	28.3644	268.7063	3827	34.26	0.54	100006	85	26.41	269.60	3712	33.67	0.05
155542	43.1428	254.9394	8654	35.50	0.50	100351	6	42.83	254.46	8482	35.69	0.22
155566	40.6011	258.1522	8709	34.81	0.50	106411	1	40.60	258.15	8709	34.81	0.50
155612	37.8488	261.3938	15741	36.10	0.50	104321	1	37.85	261.39	15741	36.10	0.50
155695	35.2480	264.4633	15227	36.31	0.50	104533	1	35.25	264.46	15227	36.75	0.35
155702	11.4283	280.6572	6336	36.58	0.50	100029	29	11.16	280.63	6248	34.51	0.14
155710	35.2833	264.5674	14918	37.18	0.50	104533	1	35.28	264.57	14918	36.75	0.35
155714	11.4027	280.7189	6455	35.15	0.50	100029	29	11.16	280.63	6248	34.51	0.14
155783	16.1142	278.3307	13721	37.04	0.50	0	1	16.11	278.33	13721	37.04	0.50
155813	43.4638	257.3616	9368	36.75	0.50	0	1	43.46	257.36	9368	36.75	0.50
155819	36.8774	264.1109	7909	35.68	0.50	100881	3	37.05	264.20	7751	35.37	0.25
155825	36.9664	264.1365	7906	34.84	0.50	100881	3	37.05	264.20	7751	35.37	0.25
155852	37.3540	264.2069	7999	34.86	0.50	100881	3	37.05	264.20	7751	35.37	0.25
155882	42.1623	259.7097	8531	36.44	0.50	0	1	42.16	259.71	8531	36.44	0.50
155891	10.3111	282.2469	12095	35.45	0.50	101315	3	10.60	282.38	11913	36.07	0.25
155908	25.7860	273.2916	11785	35.51	0.50	0	1	25.79	273.29	11785	35.51	0.50
155954	45.0013	259.1001	15709	36.48	0.50	0	1	45.00	259.10	15709	36.48	0.50
156009	11.8042	282.7363	14288	36.94	0.50	0	1	11.80	282.74	14288	36.94	0.50
156013	11.5389	282.9435	4446	34.02	0.50	111366	1	11.54	282.94	4446	34.02	0.50
156014	43.1314	261.9160	13888	36.19	0.50	0	1	43.13	261.92	13888	36.19	0.50
156109	46.6837	260.1478	9107	36.14	0.50	100203	8	47.03	260.65	9296	35.49	0.29
156117	46.5375	260.3614	14400	35.74	0.50	0	1	46.54	260.36	14400	35.74	0.50
156123	46.7370	260.2173	14737	36.93	0.50	103946	1	46.74	260.22	14737	36.36	0.25
156136	14.8989	282.4017	12383	35.93	0.50	0	1	14.90	282.40	12383	35.93	0.50
156179	11.6410	284.3217	14729	37.06	0.50	100223	7	12.18	284.13	16340	36.81	0.14
156182	11.4077	284.4553	14817	36.26	0.50	100223	7	12.18	284.13	16340	36.81	0.14
156190	35.4385	271.7972	8010	36.09	0.50	0	1	35.44	271.80	8010	36.09	0.50
156208	47.1505	261.9578	14461	35.91	0.50	104453	1	47.15	261.96	14461	35.91	0.50
156290	44.8614	265.2214	7910	35.08	0.50	100105	11	44.96	265.06	7928	35.25	0.17
156327	47.7728	263.9121	13715	36.76	0.50	104459	1	47.77	263.91	13715	36.76	0.22
156340	47.7873	264.0044	13900	37.37	0.50	104459	1	47.79	264.00	13900	36.76	0.22
156347	43.1282	268.3514	11070	35.43	0.50	0	1	43.13	268.35	11070	35.43	0.50
156356	48.7656	263.1235	8629	36.04	0.50	106602	1	48.77	263.12	8629	35.65	0.35
156388	47.6646	264.5417	12260	36.07	0.50	102546	2	47.66	264.89	12282	35.76	0.35
156412	46.0879	266.8127	7767	35.58	0.50	0	1	46.09	266.81	7767	35.58	0.50
156509	13.6717	287.2372	13059	36.01	0.50	0	1	13.67	287.24	13059	36.01	0.50
156534	48.9651	268.3208	7169	35.04	0.50	100151	9	48.89	268.02	6988	35.65	0.25
156639	49.0999	270.4324	14808	36.60	0.50	0	1	49.10	270.43	14808	36.60	0.50
156704	49.2805	272.8510	11020	36.50	0.50	0	1	49.28	272.85	11020	36.50	0.50
156707	49.1664	273.0362	9345	35.40	0.50	0	1	49.17	273.04	9345	35.40	0.50
156715	48.8912	273.4097	5844	34.80	0.50	100050	20	48.59	272.61	6325	34.69	0.15
156717	44.9172	276.1853	15722	36.15	0.50	104257	1	44.92	276.19	15722	36.15	0.50
156753	47.9489	275.2326	13600	36.79	0.50	0	1	47.95	275.23	13600	36.79	0.50
156797	24.1708	286.9075	15122	36.63	0.50	100316	6	24.19	287.46	15007	36.55	0.22
156800	49.1230	274.8117	10943	35.62	0.50	0	1	49.12	274.81	10943	35.62	0.50
156802	49.4254	274.6019	6093	35.83	0.50	100254	7	49.33	274.58	5779	34.93	0.22
156822	49.4314	274.7585	6163	35.62	0.50	100254	7	49.33	274.58	5779	34.93	0.22
156852	42.5091	279.3256	6657	35.11	0.50	102113	2	42.31	279.10	6577	35.09	0.26
156918	48.6294	276.1749	9530	36.14	0.50	108243	1	48.63	276.17	9530	36.14	0.50
156943	14.3798	291.0928	11819	35.82	0.50	0	1	14.38	291.09	11819	35.82	0.50
156946	46.6042	278.6144	10078	36.28	0.50	102728	2	46.66	278.95	10122	36.28	0.50
156954	50.1381	276.4500	9229	35.26	0.50	0	1	50.14	276.45	9229	35.26	0.50
156990	10.4472	292.5097	14762	36.28	0.50	102292	2	10.61	292.58	14699	36.24	0.35
156995	17.0451	290.7193	9428	35.95	0.50	100295	6	17.16	290.66	9959	35.76	0.25
157078	31.2380	288.0694	15337	37.03	0.50	0	1	31.24	288.07	15337	37.03	0.50
157086	49.5634	281.0287	14670	36.61	0.50	0	1	49.56	281.03	14670	36.61	0.50
157110	53.9170	279.3111	14854	35.96	0.50	0	1	53.92	279.31	14854	35.96	0.50
157115	56.0701	277.9323	7936	36.72	0.50	106896	1	56.07	277.93	7936	36.72	0.50
157138	29.4374	289.8497	8387	35.99	0.50	100210	8	28.87	289.25	8172	35.52	0.29
157209	53.8690	280.6553	8637	34.90	0.50	107722	1	53.87	280.66	8637	34.90	0.50
157214	53.4204	281.0088	15514	36.14	0.50	0	1	53.42	281.01	15514	36.14	0.50
157240	50.4337	283.0578	13974	35.70	0.50	0	1	50.43	283.06	13974	35.70	0.50
157333	51.5386	284.4129	15701	35.94	0.50	0	1	51.54	284.41	15701	35.94	0.50
157398	43.7511	288.0055	14554	36.80	0.50	0	1	43.75	288.01	14554	36.80	0.50
157408	18.2240	294.4466	8153	35.03	0.50	109114	1	18.22	294.45	8153	35.03	0.50
157475	45.0198	289.5549	13165	36.52	0.50	0	1	45.02	289.55	13165	36.52	0.50
157492	16.1781	295.9790	10490	36.18	0.50	100068	13	15.50	295.45	10142	36.15	0.29
157494	30.5785	293.3730	8392	35.72	0.50	0	1	30.58	293.37	8392	35.72	0.50
157744	27.6044	296.9973	8512	35.44	0.50	102933	2	27.41	297.20	8483	35.44	0.50
157773	48.3610	294.3730	12642	35.92	0.50	0	1	48.36	294.37	12642	35.92	0.50
157774	48.3510	294.3936	12605	36.35	0.50	0	1	48.35	294.39	12605	36.35	0.50
157861	15.3495	299.6763	8266	35.23	0.50	100778	4	15.17	299.67	8318	35.32	0.35
157867	18.2231	299.7450	9659	35.67	0.50	0	1	18.22	299.74	9659	35.67	0.50
157900	47.0492	298.7728	9794	36.44	0.50	0	1	47.05	298.77	9794	36.44	0.50
157913	51.4195	298.4420	8175	36.26	0.50	0	1	51.42	298.44	8175	36.26	0.50
157930	48.3759	298.8870	13003	35.65	0.50	0	1	48.38	298.89	13003	35.65	0.50
157946	56.1147	298.2883	7573	34.93	0.50	108520	1	56.11	298.29	7573	34.93	0.50
157948	57.5521	298.1130	14811	36.25	0.50	0	1	57.55	298.11	14811	36.25	0.50
157949	53.2220	298.6637	10869	35.92	0.50	0	1	53.22	298.66	10869	35.92	0.50
157955	45.8574	299.4170	10635	35.45	0.50	100829	3	45.49	299.92	10911	35.58	0.14
157959	51.8387	298.8714	15842	36.77	0.50	100433	5	51.76	299.09	15066	36.72	0.13
157960	51.7186	298.8899	14372	37.02	0.50	100433	5	51.76	299.09	15066	36.72	0.13
157965	54.1677	298.6501	10712	35.57	0.50	102300	2	53.79	298.61	10825	35.42	0.35
157967	51.8352	298.9275	16021	37.70	0.50	100433	5	51.76	299.09	15066	36.72	0.13
157968	51.6389	298.9575	14383	37.70	0.50	100433	5	51.76	299.09	15066	36.72	0.13
157969	47.5447	299.3607	13758	36.12	0.50	0	1	47.54	299.36	13758	36.12	0.50
157970	46.3154	299.4699	11562	36.44	0.50	0	1	46.32	299.47	11562	36.44	0.50
157976	50.1660	299.2103	11870	36.93	0.50	105504	1	50.17	299.21	11870	36.82	0.35
157984	16.0345	301.2963	13721	35.75	0.50	0	1	16.03	301.30	13721	35.75	0.50
158043	50.7463	300.5844	14334	36.06	0.50	0	1	50.75	300.58	14334	36.06	0.50
158051	54.7515	300.4140	14949	35.73	0.50	101450	4	55.35	300.19	14908	36.31	0.22
158087	61.0852	300.5050	14557	36.94	0.50	104229	1	61.09	300.51	14557	36.60	0.35
158094	44.9494	301.3819	11687	36.59	0.50	0	1	44.95	301.38	11687	36.59	0.50
158102	43.8939	301.4510	11176	35.83	0.50	0	1	43.89	301.45	11176	35.83	0.50
158125	12.0801	302.3024	15295	36.61	0.50	0	1	12.08	302.30	15295	36.61	0.50
158148	50.1032	302.8529	14442	37.40	0.50	0	1	50.10	302.85	14442	37.40	0.50
158163	48.5334	302.9573	13468	35.91	0.50	100036	18	47.65	303.22	14005	36.45	0.09
158171	49.2699	303.0486	14587	36.62	0.50	100036	18	47.65	303.22	14005	36.45	0.09
158201	41.9717	304.1624	14678	36.77	0.50	0	1	41.97	304.16	14678	36.77	0.50
158212	52.9253	304.5840	11135	36.10	0.50	0	1	52.93	304.58	11135	36.10	0.50
158229	49.4628	304.4963	4373	34.61	0.50	100013	49	49.38	303.99	4403	34.00	0.14
158232	62.2627	305.1871	14140	36.26	0.50	0	1	62.26	305.19	14140	36.26	0.50
158246	44.4556	304.3799	13803	36.95	0.50	100040	17	45.18	304.69	14011	36.42	0.07
158299	47.0273	304.8828	14916	35.99	0.50	100036	18	47.65	303.22	14005	36.45	0.09
158344	46.5784	305.3579	14392	36.04	0.50	100040	17	45.18	304.69	14011	36.42	0.07
158354	30.7250	304.7202	5207	34.21	0.35	100064	17	30.66	305.36	4930	34.15	0.13
158356	34.6787	304.8911	14849	36.07	0.50	104508	1	34.68	304.89	14849	36.62	0.35
158370	14.0412	304.2284	15178	37.15	0.50	0	1	14.04	304.23	15178	37.15	0.50
158391	13.9420	304.3463	15280	36.20	0.50	0	1	13.94	304.35	15280	36.20	0.50
158408	14.1571	304.5311	15692	37.28	0.50	0	1	14.16	304.53	15692	37.28	0.50
158423	30.6817	306.2545	9303	35.60	0.50	100154	9	30.40	305.89	9527	35.58	0.22
158445	20.4324	305.7397	9767	35.56	0.50	107691	1	20.43	305.74	9767	35.56	0.50
158448	41.9195	307.4126	13362	37.33	0.50	101193	3	41.96	307.90	13624	36.55	0.22
158458	33.6835	306.7310	14719	37.04	0.50	0	1	33.68	306.73	14719	37.04	0.50
158463	57.3002	309.7157	13983	37.16	0.50	104849	1	57.30	309.72	13983	37.16	0.50
158465	41.8237	307.5475	13971	37.01	0.50	101193	3	41.96	307.90	13624	36.55	0.22
158466	48.8709	308.3705	14117	36.00	0.50	0	1	48.87	308.37	14117	36.00	0.50
158468	14.9867	305.4918	15528	36.10	0.50	0	1	14.99	305.49	15528	36.10	0.50
158482	33.6088	306.8265	14979	35.59	0.50	0	1	33.61	306.83	14979	35.59	0.50
158483	55.0737	309.3742	6665	34.72	0.50	111244	1	55.07	309.37	6665	34.72	0.50
158484	49.6621	308.5393	7100	34.78	0.50	0	1	49.66	308.54	7100	34.78	0.50
158545	29.6514	308.1312	14641	36.23	0.50	100079	12	29.09	308.87	14813	36.52	0.15
158560	28.7748	308.1351	16056	37.07	0.50	100079	12	29.09	308.87	14813	36.52	0.15
158563	15.1976	306.7766	15193	36.69	0.50	101963	2	15.11	306.63	15280	36.90	0.29
158571	57.2122	314.0986	13979	35.43	0.50	0	1	57.21	314.10	13979	35.43	0.50
158589	41.9279	310.7627	8374	34.99	0.50	0	1	41.93	310.76	8374	34.99	0.50
158590	51.9617	312.8828	14119	37.06	0.50	0	1	51.96	312.88	14119	37.06	0.50
158630	57.5814	314.8275	14033	36.88	0.50	0	1	57.58	314.83	14033	36.88	0.50
158643	29.0995	309.0334	10663	35.62	0.50	0	1	29.10	309.03	10663	35.62	0.50
158679	48.1053	312.4665	11774	35.83	0.50	101731	2	48.07	312.49	11905	36.15	0.29
158681	48.1305	312.4814	11812	36.73	0.50	101731	2	48.07	312.49	11905	36.15	0.29
158684	47.4416	312.7807	10738	36.06	0.31	100537	6	47.11	312.42	10899	35.67	0.21
158763	44.5975	313.1336	13967	36.30	0.50	104742	1	44.60	313.13	13967	36.30	0.50
158781	46.1314	313.6192	7517	34.34	0.50	100026	23	45.48	313.39	6930	35.17	0.18
158858	36.2985	311.9180	9834	35.49	0.50	100907	3	36.11	312.02	9828	35.28	0.16
158869	43.0952	313.4684	7242	34.53	0.50	100391	7	42.53	313.85	7385	35.00	0.18
158963	40.6251	313.4621	8937	35.40	0.50	107898	1	40.63	313.46	8937	35.40	0.50
159020	52.7250	317.2496	13812	36.76	0.50	0	1	52.72	317.25	13812	36.76	0.50
159023	37.1779	312.8770	9752	35.65	0.50	100574	4	37.08	312.64	10114	35.69	0.15
159037	15.9613	309.1907	15881	36.87	0.50	103750	1	15.96	309.19	15881	36.87	0.50
159109	40.6505	314.9801	5803	35.91	0.50	100076	13	41.13	315.01	5522	34.77	0.20
159115	36.5868	314.0241	13542	35.93	0.50	100113	10	37.28	313.34	13542	36.07	0.15
159119	39.7473	314.8352	9345	36.39	0.50	107963	1	39.75	314.84	9345	36.39	0.50
159181	40.4916	315.2897	5630	35.56	0.50	100076	13	41.13	315.01	5522	34.77	0.20
159185	32.2550	313.2713	13084	35.97	0.50	100165	8	32.70	312.97	14165	36.31	0.25
159186	20.5932	310.9591	10997	35.86	0.50	0	1	20.59	310.96	10997	35.86	0.50
159218	52.6929	319.6659	6580	35.05	0.50	100185	8	52.85	320.98	6710	34.73	0.20
159236	48.4819	318.0712	6573	34.94	0.50	110399	1	48.48	318.07	6573	34.94	0.50
159251	43.2453	316.7620	14321	36.53	0.50	0	1	43.25	316.76	14321	36.53	0.50
159255	59.8573	324.4234	14174	36.13	0.50	0	1	59.86	324.42	14174	36.13	0.50
159265	44.0641	317.1333	14523	36.28	0.50	104599	1	44.06	317.13	14523	36.67	0.35
159275	43.6124	317.0419	12810	36.37	0.50	0	1	43.61	317.04	12810	36.37	0.50
159283	53.1010	320.8061	6374	34.95	0.50	100185	8	52.85	320.98	6710	34.73	0.20
159298	41.7868	317.5831	13126	35.98	0.50	100846	3	41.50	317.55	12755	35.60	0.35
159307	54.8753	323.2531	13789	36.22	0.50	104844	1	54.88	323.25	13789	36.08	0.35
159340	53.3063	323.2804	6934	34.32	0.50	101575	2	53.20	323.47	6694	34.68	0.31
159344	53.0303	323.1561	15360	37.02	0.50	0	1	53.03	323.16	15360	37.02	0.50
159345	40.1777	317.7665	12598	36.09	0.50	0	1	40.18	317.77	12598	36.09	0.50
159355	41.3184	318.2727	11992	37.58	0.50	0	1	41.32	318.27	11992	37.58	0.50
159412	23.5455	313.7424	10606	35.25	0.50	100033	19	23.33	314.20	10932	35.72	0.12
159455	16.7233	313.2194	14956	36.36	0.50	0	1	16.72	313.22	14956	36.36	0.50
159457	12.7497	312.2832	9629	34.20	0.50	102109	2	12.81	312.41	9719	34.72	0.35
159460	27.8423	316.1245	11260	36.16	0.35	100024	24	28.45	316.40	11768	36.02	0.08
159464	29.0493	316.5399	11642	36.23	0.50	100024	24	28.45	316.40	11768	36.02	0.08
159479	28.0445	316.3185	11906	35.88	0.50	100024	24	28.45	316.40	11768	36.02	0.08
159481	28.8586	316.5616	11733	36.06	0.35	100024	24	28.45	316.40	11768	36.02	0.08
159489	46.5730	324.7261	11473	35.85	0.50	106533	1	46.57	324.73	11473	35.85	0.50
159526	42.0999	324.0658	10556	36.19	0.50	107577	1	42.10	324.07	10556	36.19	0.50
159562	42.9968	325.5691	10671	35.58	0.50	107355	1	43.00	325.57	10671	35.58	0.50
159602	24.2587	318.4075	14878	37.54	0.50	0	1	24.26	318.41	14878	37.54	0.50
159605	27.5361	319.5803	11557	36.34	0.50	0	1	27.54	319.58	11557	36.34	0.50
159626	19.2793	316.9734	10951	34.91	0.50	103094	2	19.18	316.62	11389	35.66	0.23
159650	44.7134	328.1888	10820	35.64	0.50	100418	5	44.84	328.27	10959	36.01	0.20
159654	37.3226	324.3226	10989	36.43	0.50	106677	1	37.32	324.32	10989	36.43	0.50
159657	38.8460	325.0689	12193	35.50	0.50	105402	1	38.85	325.07	12193	35.92	0.35
159659	44.7839	328.3097	11083	36.70	0.50	100418	5	44.84	328.27	10959	36.01	0.20
159674	38.6665	325.1063	12383	36.35	0.50	105402	1	38.67	325.11	12383	35.92	0.35
159724	38.5098	327.6675	14260	36.79	0.50	0	1	38.51	327.67	14260	36.79	0.50
159747	38.9175	329.6768	10906	35.07	0.50	100253	7	38.87	329.66	10860	35.70	0.23
159763	31.4978	325.7714	6458	34.56	0.50	100037	18	31.65	325.94	6859	34.93	0.12
159783	39.6615	331.3182	10698	35.84	0.50	106848	1	39.66	331.32	10698	35.84	0.50
159798	14.4253	319.5340	13863	36.79	0.50	0	1	14.43	319.53	13863	36.79	0.50
159842	42.1728	334.2029	11121	35.84	0.50	100680	4	42.15	334.66	11278	36.12	0.35
159886	47.2149	340.9359	9637	34.70	0.50	107431	1	47.21	340.94	9637	34.70	0.50
159896	35.9694	332.1390	8260	35.23	0.50	107309	1	35.97	332.14	8260	35.23	0.50
159897	52.7581	347.3615	10886	37.04	0.50	0	1	52.76	347.36	10886	37.04	0.50
159922	48.8766	344.5835	13343	37.97	0.50	101884	2	48.86	344.54	13251	37.97	0.50
160067	40.1150	338.7712	9007	36.26	0.50	107891	1	40.12	338.77	9007	36.26	0.50
160086	38.8440	337.8472	12436	37.44	0.50	105164	1	38.84	337.85	12436	36.74	0.35
160092	38.2564	337.4531	10219	36.05	0.50	102359	2	38.24	337.77	10162	36.05	0.50
