# pgc	lat[deg]	long[deg]	czHelio[km/s]	mu	muError	group	groupSize	latGroup[deg]	longGroup[deg]	czGroupHelio[km/s]	muGroup	muGroupError
147412	-25.2565	215.0836	13167	36.22	0.50	204172	1	-25.26	215.08	13167	36.22	0.50
147413	-34.0092	252.1288	12844	35.98	0.50	200459	5	-33.77	251.94	12781	36.19	0.29
147420	-23.8450	211.7979	13047	35.40	0.50	201543	2	-23.83	211.88	13284	36.40	0.29
147447	-24.1809	213.2214	14059	35.58	0.50	0	1	-24.18	213.22	14059	35.58	0.50
147475	-33.9515	268.0906	12602	36.13	0.50	202913	2	-33.79	268.26	12589	36.31	0.29
147482	-23.9933	213.3307	13919	36.80	0.50	0	1	-23.99	213.33	13919	36.80	0.50
147490	-20.6573	206.1476	9082	35.11	0.50	206487	1	-20.66	206.15	9082	35.11	0.50
147507	-21.7649	208.7427	14062	35.71	0.50	0	1	-21.76	208.74	14062	35.71	0.50
147520	-30.4380	233.2587	13692	36.52	0.50	0	1	-30.44	233.26	13692	36.52	0.50
147530	-33.8164	258.2824	14177	35.98	0.50	0	1	-33.82	258.28	14177	35.98	0.50
147557	-33.5392	268.5190	12581	35.49	0.50	202913	2	-33.79	268.26	12589	36.31	0.29
147613	-31.2879	243.4001	13238	37.27	0.50	0	1	-31.29	243.40	13238	37.27	0.50
147636	-33.0013	268.7277	15696	36.64	0.50	204137	1	-33.00	268.73	15696	36.52	0.35
147663	-26.7471	227.5268	13934	36.76	0.50	201945	2	-26.68	227.45	13512	36.80	0.29
147680	-32.4686	269.6207	15674	37.15	0.50	0	1	-32.47	269.62	15674	37.15	0.50
147707	-21.2363	215.7598	13497	35.19	0.50	204722	1	-21.24	215.76	13497	35.19	0.50
147717	-21.2022	216.0398	6939	34.74	0.50	201133	3	-21.04	215.76	7041	34.74	0.50
147719	-25.4134	227.1422	11376	35.83	0.50	206739	1	-25.41	227.14	11376	35.83	0.50
147726	-26.4343	230.5547	12530	36.21	0.50	212386	1	-26.43	230.55	12530	36.21	0.50
147735	-26.2015	230.1215	12035	36.14	0.50	230014	11	-25.88	230.44	11546	35.94	0.11
147738	-26.2760	230.3919	11920	35.61	0.50	230014	11	-25.88	230.44	11546	35.94	0.11
147749	-26.2356	230.4925	11344	35.60	0.50	230014	11	-25.88	230.44	11546	35.94	0.11
