# group	groupSize	latGroup[deg]	longGroup[deg]	czGroupHelio[km/s]	muGroup	muGroupError
0	1	-48.7100	121.5200	11564	34.85	0.40
0	1	-87.9600	97.3600	242	27.76	0.16
0	1	-72.7500	119.9000	1342	31.15	0.30
209778	1	-43.2669	121.7877	4552	33.75	0.40
200484	5	-35.1012	122.0146	5010	34.15	0.15
200534	5	-65.0348	121.7730	4000	33.27	0.40
209257	1	-64.4249	120.9905	5550	33.80	0.50
0	1	-80.9300	119.7800	224	27.71	0.16
209902	1	-61.7526	121.9586	5264	34.54	0.40
0	1	-31.2700	122.5100	5157	34.20	0.30
0	1	-83.8700	119.4100	294	27.65	0.16
211880	1	-61.9060	122.0990	4600	34.26	0.28
0	1	-41.1500	122.4800	4542	33.67	0.40
203651	1	-77.5497	121.3355	15997	36.08	0.50
209525	1	-75.8832	303.7732	7012	35.26	0.40
0	1	-82.7700	121.0100	228	27.78	0.16
201904	2	-68.4919	122.1948	5598	34.43	0.50
210270	1	-71.5221	122.2331	3818	33.01	0.50
0	1	-74.0600	303.5100	6933	35.64	0.40
200600	4	-64.9856	303.7642	8000	35.10	0.35
209425	1	-69.7569	122.4794	4673	33.85	0.50
0	1	-89.3500	111.0900	5516	34.22	0.40
211755	1	-34.2212	122.5091	4954	33.06	0.54
201061	3	-84.4871	123.3164	17326	36.93	0.13
202579	2	-61.6206	302.8211	7040	35.06	0.50
202476	2	-69.9315	122.6492	1705	31.64	0.24
211357	1	-33.3339	122.8447	5095	33.06	0.45
0	1	-66.8400	123.4700	1412	32.42	0.54
0	1	-48.3500	123.3100	5500	34.22	0.40
201386	3	-38.4563	122.9823	10104	35.96	0.40
202261	2	-33.6084	123.6220	4570	34.27	0.17
0	1	-44.3300	302.8100	162	18.90	0.12
202334	2	-85.8469	304.4013	1577	31.84	0.30
211378	1	-33.8380	123.3356	4982	33.77	0.40
0	1	-40.9400	123.4600	7305	34.79	0.40
0	1	-89.4700	174.7100	10756	35.91	0.40
200590	4	-76.0137	124.9216	11270	35.04	0.50
0	1	-59.0200	302.3900	5976	34.14	0.40
0	1	-59.9400	123.9800	4906	34.64	0.40
0	1	-87.8300	290.3100	11253	35.78	0.50
210820	1	-89.4851	204.2854	5542	34.01	0.40
0	1	-71.9400	301.6000	7325	35.02	0.40
0	1	-83.8100	298.3200	5381	34.42	0.40
200496	5	-69.7735	301.3001	8542	35.38	0.26
110017	1	10.2143	123.1262	4706	33.12	0.54
207980	1	-32.2317	123.2534	6673	34.58	0.30
206076	1	-54.6699	302.3736	10629	36.12	0.40
200043	18	-63.9297	125.8289	13151	36.30	0.06
201545	2	-51.2557	302.5040	11590	36.21	0.35
209821	1	-65.6097	301.6748	7475	35.08	0.40
200841	3	-81.2603	297.9245	12834	35.34	0.50
0	1	-26.1000	123.6600	6061	34.31	0.30
200070	14	-32.1032	124.5790	5065	34.11	0.10
0	1	-79.4200	299.2100	165	26.49	0.12
0	1	-10.3900	123.4600	5164	34.16	0.40
204088	1	-70.2198	125.8874	15416	36.79	0.35
212312	1	-70.1863	125.5670	1768	32.45	0.54
208361	1	-81.8353	128.9593	6367	34.66	0.40
0	1	-32.4700	123.9800	6678	34.70	0.30
0	1	-76.8900	127.8800	11462	35.88	0.50
200104	11	-64.1342	301.0201	8024	35.10	0.29
210199	1	-64.6141	125.9085	3960	33.17	0.50
200964	3	-55.0043	125.5314	11502	36.44	0.40
0	1	-71.6800	299.8300	7911	34.65	0.40
0	1	-47.9400	124.9700	14889	36.98	0.40
201231	3	-73.2932	299.6654	7030	34.01	0.50
200481	10	-67.5402	128.4581	5378	34.41	0.16
207279	1	-68.1926	300.1935	7460	34.20	0.50
0	1	-47.7800	125.1800	5464	33.80	0.40
201858	2	-71.1254	128.1875	4442	33.24	0.50
210440	1	-78.1548	131.0503	5514	34.74	0.50
200148	9	-35.9271	125.0250	14197	35.67	0.25
207282	1	-80.3558	294.6033	10437	35.70	0.40
0	1	-17.8500	124.2600	5220	35.40	0.40
200676	4	-49.8179	125.8832	11928	36.08	0.14
207148	1	-81.8575	292.1983	9191	35.09	0.40
206171	1	-79.5948	132.9116	10974	36.07	0.50
203411	1	-79.2033	132.4670	16186	36.82	0.22
212083	1	-81.4376	134.9894	1972	32.31	0.30
0	1	-83.2100	138.7000	1958	33.05	0.54
0	1	-80.7800	292.7400	3474	33.24	0.40
0	1	-27.2800	124.8000	2357	32.71	0.40
210360	1	-73.0939	129.8690	6849	34.75	0.50
210028	1	-47.4938	125.8695	5483	34.51	0.40
201863	2	-76.7148	295.8644	6884	34.46	0.50
0	1	-48.1000	125.9600	12223	36.42	0.40
212031	1	-70.3485	129.1302	1622	31.42	0.30
203733	1	-76.7165	131.9907	15878	36.77	0.25
210018	1	-73.8265	130.5544	5408	34.78	0.50
210179	1	-81.2655	136.6552	6329	35.47	0.40
0	1	-83.1600	287.5400	109	19.60	0.16
202353	2	-15.0538	124.5549	2664	32.69	0.21
